CamID,Source.sheet,Year,Locality/Population,Lat,Lon,sex.by.median.norm.depth.chr1.highest.depth.sample,sex.depth.genital.consensous
CAM046000,Mastersheet,2015,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,NA,female
CAM046001,Mastersheet,2015,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,cant.be.det,female
CAM046002,Mastersheet,2015,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,NA,0
CAM046003,Mastersheet,2015,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,cant.be.det,0
CAM046004,Mastersheet,2015,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,cant.be.det,0
CAM046005,Batch1 - missing information,2015,"Roraima - 2°56'18,1""N 61°00'18,0""W, Altitude 87m",2.938361,-61.005,,
CAM046006,Mastersheet,2015,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,cant.be.det,male
CAM046007,Batch1 - missing information,2015,"Roraima - 2°56'18,1""N 61°00'18,0""W, Altitude 87m",2.938361,-61.005,,
CAM046008,Batch1 - missing information,2015,"Roraima - 2°56'18,1""N 61°00'18,0""W, Altitude 87m",2.938361,-61.005,,
CAM046009,Batch1 - missing information,2015,"Roraima - 2°56'18,1""N 61°00'18,0""W, Altitude 87m",2.938361,-61.005,,
CAM046010,Batch1 - missing information,2015,"Roraima - 2°56'18,1""N 61°00'18,0""W, Altitude 87m",2.938361,-61.005,,
CAM046011,Batch1 - missing information,2015,"Roraima - 2°56'18,1""N 61°00'18,0""W, Altitude 87m",2.938361,-61.005,,
CAM046012,Mastersheet,2015,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,male,male
CAM046013,Mastersheet,2015,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,cant.be.det,0
CAM046014,Mastersheet,2015,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,cant.be.det,0
CAM046015,Mastersheet,2015,"Roraima - 2¡56'18,1""N 61¡00'18,0""W, Altitude 87m",2.938361,-61.005,cant.be.det,female
CAM046016,Batch1 - missing information,2015,"Roraima - 2°56'18,1""N 61°00'18,0""W, Altitude 87m",2.938361,-61.005,,
