cam.id,country,state,lat,lon,altitude.m,bam.depth.mean.wg.mapq20,species.id.pcangsd.admix.10.90,pcangsd.admix.prop.zea,pcangsd.admix.prop.arm,sex.depth.genital.consensous
110_N704_S504,Brazil,Mato Grosso,NA,NA,NA,11.08,arm,0.052988023,0.947012007,female
142_N703_S503,Brazil,Mato Grosso,NA,NA,NA,6.12,arm,0.04350666,0.956493378,female
BR0008,Brazil,Maranhao,NA,NA,NA,6.6,arm,0.000100009,0.999899983,male
BR0030,Brazil,Mato Grosso,NA,NA,NA,5.9,arm,1E-04,0.999899983,male
BR0032,Brazil,Mato Grosso,NA,NA,NA,3.61,arm,1E-04,0.999899983,male
BR0034,Brazil,Mato Grosso,NA,NA,NA,3.18,arm,0.025335168,0.974664867,female
BR0036,Brazil,Mato Grosso,NA,NA,NA,2.82,arm,0.023369234,0.976630747,male
BR0045,Brazil,Mato Grosso,NA,NA,NA,6.85,arm,1E-04,0.999899983,male
BR0050,Brazil,Mato Grosso,NA,NA,NA,7.51,arm,1E-04,0.999899983,male
BR0051,Brazil,Mato Grosso,NA,NA,NA,5.09,arm,1E-04,0.999899983,female
BR0086,Brazil,Mato Grosso,NA,NA,NA,5.51,arm,1E-04,0.999899983,male
BR0101,Brazil,Mato Grosso,NA,NA,NA,3.17,arm,0.013663894,0.986336112,cant.be.det
BR0135,Brazil,Mato Grosso,NA,NA,NA,6.39,arm,1E-04,0.999899983,male
Bra_Mig47_S4,Brazil,Mato Grosso,NA,NA,NA,19.57,zea,0.999899983,1E-04,male
Bra_Mig69_S3,Brazil,Mato Grosso,NA,NA,NA,18.28,zea,0.999899983,1E-04,male
Bra_Mig75_S2,Brazil,Mato Grosso,NA,NA,NA,15.89,zea,0.999899983,1E-04,female
Bra_Mig76_S1,Brazil,Mato Grosso,NA,NA,NA,14.26,zea,0.999899983,1E-04,female
CAM046001,Brazil,Roraima,2.938361,-61.005,87,0.88,arm,0.011963127,0.988036931,female
CAM046003,Brazil,Roraima,2.938361,-61.005,87,0.88,arm,0.010171265,0.989828765,cant.be.det
CAM046004,Brazil,Roraima,2.938361,-61.005,87,0.08,arm,0.056042526,0.943957508,cant.be.det
CAM046006,Brazil,Roraima,2.938361,-61.005,87,0.44,arm,0.004461913,0.995538116,male
CAM046012,Brazil,Roraima,2.938361,-61.005,87,2.23,arm,0.003478616,0.996521413,male
CAM046013,Brazil,Roraima,2.938361,-61.005,87,1.2,arm,0.015292981,0.984706998,cant.be.det
CAM046014,Brazil,Roraima,2.938361,-61.005,87,0.53,arm,0.010745634,0.989254355,cant.be.det
CAM046015,Brazil,Roraima,2.938361,-61.005,87,0.45,arm,0.017069194,0.982930839,female
CAM046018,Brazil,Roraima,2.938361,-61.005,87,0.31,arm,0.008048669,0.991951346,cant.be.det
CAM046020,Brazil,Roraima,2.938361,-61.005,87,0.25,arm,0.010927763,0.989072263,cant.be.det
CAM046021,Brazil,Roraima,2.938361,-61.005,87,1.64,arm,0.083770312,0.916229665,male
CAM046023,Brazil,Roraima,2.938361,-61.005,87,2.83,arm,1E-04,0.999899983,female
CAM046028,Brazil,Roraima,2.938361,-61.005,87,4.1,arm,1E-04,0.999899983,female
CAM046031,Brazil,Roraima,2.938361,-61.005,87,6.74,arm,0.007712291,0.992287695,male
CAM046034,Brazil,Roraima,2.938361,-61.005,87,10.36,arm,1E-04,0.999899983,female
CAM046035,Brazil,Roraima,2.938361,-61.005,87,6.43,arm,0.005949106,0.99405092,female
CAM046038,Brazil,Roraima,2.938361,-61.005,87,0.09,arm,0.05494291,0.945057094,female
CAM046039,Brazil,Roraima,2.938361,-61.005,87,3.33,arm,0.082664698,0.917335331,female
CAM046040,Brazil,Roraima,2.938361,-61.005,87,0.62,arm,0.041233107,0.958766937,cant.be.det
CAM046043,Brazil,Roraima,2.938361,-61.005,87,2.09,hyb,0.886269867,0.113730103,male
CAM046044,Brazil,Roraima,2.938361,-61.005,87,3.88,arm,1E-04,0.999899983,male
CAM046045,Brazil,Roraima,2.938361,-61.005,87,1.63,arm,0.009444907,0.990555048,female
CAM046046,Brazil,Roraima,2.938361,-61.005,87,0.49,arm,1E-04,0.999899983,cant.be.det
CAM046047,Brazil,Roraima,2.938361,-61.005,87,2.51,arm,0.013943566,0.986056447,female
CAM046048,Brazil,Roraima,2.938361,-61.005,87,2.3,arm,0.024279103,0.975720942,male
CAM046049,Brazil,Roraima,2.938361,-61.005,87,2.47,arm,0.000143684,0.999856293,male
CAM046050,Brazil,Roraima,2.938361,-61.005,87,0.48,arm,0.004331638,0.995668352,female
CAM046051,Brazil,Roraima,2.938361,-61.005,87,4.66,zea,0.94806999,0.051930025,male
CAM046054,Brazil,Roraima,2.938361,-61.005,87,3.31,arm,0.001527646,0.998472393,male
CAM046057,Brazil,Roraima,2.938361,-61.005,87,3.02,arm,0.006069676,0.99393034,female
CAM046059,Brazil,Roraima,2.938361,-61.005,87,0.17,hyb,0.265073031,0.734926999,female
CAM046061,Brazil,Roraima,2.938361,-61.005,87,12.78,arm,0.008475812,0.99152422,female
CAM046066,Brazil,Roraima,2.938361,-61.005,87,1.02,arm,0.004701777,0.995298207,female
CAM046067,Brazil,Roraima,2.938361,-61.005,87,14.27,arm,0.002529063,0.997470915,female
CAM046068,Brazil,Roraima,2.938361,-61.005,87,8.71,arm,0.00011977,0.999880195,male
CAM046069,Brazil,Roraima,2.938361,-61.005,87,4.62,arm,1E-04,0.999899983,female
