filename,location,side,area_d,major_d,minor_d,circ_d,feret_d,minferet_d,ar_d,efd_0_d,efd_1_d,efd_2_d,efd_3_d,efd_4_d,efd_5_d,efd_6_d,efd_7_d,efd_8_d,efd_9_d,efd_10_d,efd_11_d,efd_12_d,efd_13_d,efd_14_d,efd_15_d,efd_16_d,efd_17_d,efd_18_d,efd_19_d,efd_20_d,efd_21_d,efd_22_d,efd_23_d,efd_24_d,colour_0_r_d,colour_0_g_d,colour_0_b_d,colour_1_r_d,colour_1_g_d,colour_1_b_d,percentage_0_d,percentage_1_d,area_v,major_v,minor_v,circ_v,feret_v,minferet_v,ar_v,efd_0_v,efd_1_v,efd_2_v,efd_3_v,efd_4_v,efd_5_v,efd_6_v,efd_7_v,efd_8_v,efd_9_v,efd_10_v,efd_11_v,efd_12_v,efd_13_v,efd_14_v,efd_15_v,efd_16_v,efd_17_v,efd_18_v,efd_19_v,efd_20_v,efd_21_v,efd_22_v,efd_23_v,efd_24_v,colour_0_r_v,colour_0_g_v,colour_0_b_v,colour_1_r_v,colour_1_g_v,colour_1_b_v,percentage_0_v,percentage_1_v,species
CAM046001,0,0,74.12726515,16.00160208,6.843439146,0.278091839,17.01864376,6.985449482,2.338239844,-0.432993903,-0.361219898,-0.094476361,0.057042328,0.047773096,-0.125850761,-0.02553753,-0.008815388,0.075378851,-0.13271153,-0.035762705,-0.018736593,0.04006197,-0.05135083,0.004529666,0.041789707,0.00661995,-0.029700123,-0.015391701,0.008570545,-0.004099306,-0.009759884,-0.015823155,0.029673511,-0.006806147,0.751569519,0.588685918,0.337299973,0.638378564,0.444623659,0.208251794,0.567987226,0.432012774,73.79204523,15.07415625,7.699005092,0.284790127,16.94157008,7.024028753,1.957935612,-0.44196217,0.379665423,-0.112996423,0.053659716,-0.057506616,-0.125055817,0.010849986,0.008467184,0.07715998,0.130022941,-0.031578126,-0.013937099,-0.035541577,-0.049158471,-0.010531226,-0.04463839,0.007723639,0.026867423,-0.017043307,0.007157256,0.009785044,-0.010536519,0.01509304,-0.026620139,-0.004564819,0.780493536,0.674247628,0.472010861,0.586956492,0.45248655,0.264274955,0.708807276,0.291192724,0
CAM046003,0,0,49.92734484,16.32422213,5.394176251,0.269940295,16.48450599,6.043087674,3.026267842,-0.364381001,-0.243354261,-0.06120435,0.045378551,-0.068558555,-0.035870725,0.025048981,0.046644483,0.00493892,-0.137445991,0.01078549,0.016019805,0.036717089,-0.039189932,0.028872226,0.02272657,0.012395584,-0.04882072,0.013035539,-0.001106541,0.008315594,-0.003720424,0.019705103,-0.001718279,-0.019814324,0.750062378,0.637785831,0.414831244,0.620172979,0.477992995,0.250713927,0.664952392,0.335047608,50.68511087,16.49911886,5.498842582,0.268118007,16.49401591,6.252481706,3.00047121,-0.373996632,-0.246284692,0.06187118,-0.041163276,-0.074340256,-0.03072316,-0.025911148,-0.047038939,0.000880311,-0.132125194,-0.014880978,-0.01811885,0.035505086,-0.033990395,-0.034785127,-0.025078033,0.011797109,-0.046865651,-0.019926083,0.001328013,0.009372563,-0.004831484,-0.02522975,0.002047299,-0.020331526,0.770959991,0.665227199,0.44282262,0.491061911,0.348310837,0.17507268,0.747214421,0.252785579,0
CAM046004,0,0,83.85521574,17.01298703,7.014918536,0.5005668,17.08708775,7.407743925,2.425257961,-0.470282222,-0.076014342,-0.041263383,0.03981799,-0.076065665,0.045416893,-0.02042727,-0.000939286,-0.040584691,-0.038728613,-0.033705653,-0.009340197,0.011842981,0.00852794,-0.007674269,-0.014086682,-0.00388857,-0.012683626,-0.010623784,-0.003983974,0.000660094,0.006144997,0.008173579,0.003978193,-0.001013427,0.610665633,0.445132117,0.233199897,0.752896926,0.618357262,0.383717665,0.407452378,0.592547622,83.18876661,16.90334776,7.113801241,0.516027776,17.1598558,7.370403323,2.376134389,-0.463903716,-0.057851308,0.047248885,-0.050470318,-0.075854245,0.054545541,0.011313805,-0.010624751,-0.040777044,-0.031936411,0.031438695,0.004022679,0.012492336,0.008933029,0.004090782,0.011392853,-0.003441643,-0.013322982,0.012239374,0.003912522,0.001718748,0.003802972,-0.006199222,-0.00291709,0.000165381,0.740564288,0.64719819,0.444691128,0.483071052,0.355215123,0.201041505,0.74247086,0.25752914,0
CAM046006,0,0,74.57985899,16.36343427,6.820036177,0.360363811,17.01323582,7.065356057,2.399317811,-0.428887385,-0.128886045,-0.041487149,0.075245782,-0.051439513,-0.009136649,-0.009205932,-0.000404283,-0.006277517,-0.047332226,0.006588566,0.003249807,0.02303155,-0.0148347,0.021144037,-0.000801271,0.001578062,-0.01454939,0.033903995,0.009137055,0.00160317,0.003853468,0.022243975,0.014873004,-0.001266895,0.766635235,0.643934711,0.423082724,0.659305131,0.529516655,0.296818452,0.673825755,0.326174245,74.30895998,15.51228746,7.354198118,0.398385062,17.05294139,6.941028295,2.10931052,-0.441880883,-0.145294967,0.059632517,-0.063893919,-0.037387973,0.005111954,-0.004048664,-0.003865949,-0.005501211,-0.060827942,0.007190851,0.002654887,0.023262041,-0.007776035,-0.037640243,-0.001707289,0.002819062,-0.016999382,-0.020054322,-0.011128128,0.000183617,0.001900717,-0.037456227,-0.008812577,0.002810362,0.515466261,0.377056532,0.211498575,0.775825609,0.671962382,0.464797095,0.216801658,0.783198342,0
CAM046012,0,0,73.27700847,16.05105435,6.653977717,0.45921716,16.30667966,6.967467137,2.412249489,-0.441020844,-0.057654684,-0.038261672,0.056702024,-0.089307596,0.05317938,-0.001247036,-0.003395383,-0.031981477,-0.043081037,-0.022898094,0.005092513,0.012682846,0.004717555,-0.004380172,-0.008657024,0.01174173,-0.016015504,-0.006185865,-0.000916809,0.004834444,0.002546678,0.006115276,-0.000208063,0.001335333,0.736044111,0.639564458,0.438088891,0.585014915,0.464064593,0.26192623,0.645564539,0.354435461,73.81129456,16.22514435,6.548821069,0.414713574,16.45423134,7.05368179,2.477567211,-0.441571451,-0.031907042,0.086810345,-0.043413765,-0.082772257,0.047732528,-0.030805617,-0.010472709,-0.036338853,-0.051400543,0.039181511,-0.00931206,0.02821889,0.003926816,-0.004269868,0.008715755,0.012789661,-0.014030119,0.00468366,-0.004634014,0.004325,-0.003792203,-0.012463859,-0.003673323,0.006539915,0.471868771,0.333824741,0.170948839,0.740485295,0.64193781,0.437235422,0.252813962,0.747186038,0
CAM046013,0,0,80.02600893,15.95144228,7.097012758,0.453493417,16.80672411,7.445545668,2.247627675,-0.477986128,-0.115274553,0.038068767,-0.072019164,-0.047799422,0.023339739,0.023113342,0.015152745,-0.009394882,-0.045570066,0.029642498,0.00283922,0.016672312,0.004743776,-0.010774861,0.011131747,0.003364631,-0.017284907,-0.003134572,-0.003141085,-0.003497653,0.002049235,-0.021363207,-0.004610416,0.002631927,0.608376622,0.449298851,0.213290008,0.735100503,0.595286553,0.361402118,0.310028727,0.689971273,79.17152679,15.77686956,7.045441187,0.42582839,16.72961425,7.449555854,2.239301861,-0.483202626,-0.138911204,-0.057969387,0.033191079,-0.053680968,0.018311788,-0.024656688,-0.02910205,-0.0138663,-0.040977784,-0.032049055,-0.010568465,0.014805575,0.015682471,0.017490352,-0.007030684,0.003720088,-0.002647132,0.009199353,0.009932887,-0.001680545,0.00897761,0.027844464,0.013587494,0.00650762,0.521035203,0.389609665,0.211696067,0.743777777,0.640852005,0.448466153,0.334147003,0.665852997,0
CAM046014,0,0,78.06140424,15.75915996,7.127590954,0.514155259,15.81438324,7.37068826,2.211007907,-0.495043484,-0.068365759,0.030341407,-0.058864362,-0.065884763,0.039691756,0.032390592,0.005667891,-0.04131054,-0.026575159,0.026056842,0.009549893,0.022693975,0.001941724,0.012660149,0.017898553,-0.005838592,-0.011662309,0.003665984,0.004563582,0.00187624,-0.000209251,-0.004638833,0.001208053,0.001600354,0.652638524,0.465215015,0.224449336,0.754986216,0.603776173,0.357728137,0.394265169,0.605734831,77.38697369,15.67400282,6.980878694,0.522843259,15.72679893,7.363317429,2.245276492,-0.503129803,-0.076262901,-0.043301895,0.051283758,-0.064031906,0.043132729,-0.024652418,-0.002160775,-0.043644433,-0.030449413,-0.033212576,-0.01223959,0.023357264,0.005192276,-0.006811899,-0.014214058,-0.006265002,-0.009173244,-0.006319047,-0.003397446,0.002966498,-0.00213586,0.010046297,0.001731811,0.001598891,0.763580553,0.656346311,0.447537475,0.561210407,0.437010574,0.255069002,0.689910926,0.310089074,0
CAM046020,0,0,72.08519367,14.92006642,6.912199256,0.433229154,16.03574551,7.138196847,2.158512199,-0.473975133,-0.146850636,-0.060345828,0.079017442,-0.021418083,0.004153325,-0.002850476,0.002760762,0.006747675,-0.075795229,-0.015195202,-0.00171078,0.046210974,-0.025831274,0.025059297,-0.005590944,0.015575747,-0.041157969,0.006921375,0.009188201,0.010492178,-0.013275829,0.025432551,0.01332672,0.006512453,0.752865236,0.640667692,0.423879883,0.624723994,0.491435745,0.269973532,0.672502193,0.327497807,72.56689624,15.40170261,6.823185712,0.440227352,16.05008535,6.876796438,2.257259769,-0.46833785,-0.136172153,0.050286713,-0.082058083,-0.018833105,0.005655335,0.007381395,0.000382992,0.006671696,-0.075857455,0.021351341,0.004676957,0.044452407,-0.025516658,-0.015486079,0.007375794,0.014914325,-0.043010075,0.000522361,-0.006227043,0.013778366,-0.014640451,-0.019684236,-0.009510577,0.008832577,0.738583618,0.649580594,0.460785921,0.555242535,0.430064453,0.241600407,0.691785993,0.308214007,0
CAM046021,0,0,69.88185042,15.62557682,6.836843836,0.421858652,16.49220831,7.077878472,2.285495646,-0.450005836,-0.093475398,-0.090665503,0.024738851,-0.086931375,0.058219161,-0.007230377,0.004793886,-0.042087143,-0.047921082,-0.017118663,0.007791069,0.0260905,-0.010269305,0.004776761,-0.021030922,0.010026219,-0.017458045,-0.019254868,-0.007172848,-0.008813768,0.01162865,0.008170659,0.01214913,-0.010524171,0.749420578,0.638441294,0.433219267,0.630657793,0.503375338,0.282241486,0.658932947,0.341067053,70.34594691,15.95783789,6.667170982,0.422233829,16.66901308,7.109104542,2.393494623,-0.439950454,-0.08350065,0.077662126,-0.031137758,-0.090002688,0.062955308,0.014881137,-0.005428551,-0.039960833,-0.042976785,0.014827626,-0.009928789,0.021367838,-0.009930041,-0.003522648,0.020864576,0.014575898,-0.019802545,0.017938749,0.010795393,-0.008995563,0.01063928,-0.005651274,-0.008535665,-0.009954299,0.758701882,0.649437526,0.449120795,0.440968201,0.310689174,0.166137806,0.782974941,0.217025059,0
CAM046023,0,0,78.23277017,16.27895029,7.389006333,0.265921541,17.16696795,8.009168321,2.203131186,-0.625423463,-0.097095554,-0.775274636,-0.185068703,0.191529652,0.172574067,-0.018324518,-0.222492347,-0.048650278,0.03321375,0.041604278,-0.105344641,-0.034579511,-0.11210785,0.049706413,-0.003685558,-0.009611379,0.020652981,-0.018496029,-0.010898507,-0.010953861,0.008081396,0.007699728,0.020053008,-0.002037441,0.695336455,0.542938752,0.309151655,0.569734553,0.385720173,0.171892583,0.523740587,0.476259413,77.77829834,16.37450227,7.46797747,0.262555487,17.16871819,7.984977135,2.192628773,-0.610219197,0.038510313,-0.760835744,-0.199461409,-0.188806861,0.174319887,-0.016694547,0.217907665,-0.086640912,-0.011816675,0.041317853,-0.094358712,0.055415273,-0.116674759,-0.024201163,0.000614961,-0.014311705,-0.025443894,-0.013706703,-0.009546894,0.013106929,-0.001311108,-0.011857643,-0.018298379,0.00780527,0.720520153,0.60525155,0.394048058,0.485404512,0.350452503,0.178881062,0.6775972,0.3224028,0
